model:gru, lr: 0.01, epochs:5, batch size:64, hidden_size:64, train times:0.0
model:cnngru, lr: 0.01, epochs:5, batch size:64, hidden_size:64, train times:0.0
model:cnngru, lr: 0.01, epochs:50, batch size:64, hidden_size:64, train times:0.0
model:cnngru, lr: 0.01, epochs:50, batch size:64, hidden_size:64, train times:0.0
model:cnngru, lr: 0.01, epochs:50, batch size:64, hidden_size:64, train times:0.0
model:cnngru, lr: 0.01, epochs:50, batch size:64, hidden_size:64, train times:0.0
model:cnngru, lr: 0.001, epochs:100, batch size:64, hidden_size:64, train times:0.0
model:gru, lr: 0.001, epochs:100, batch size:64, hidden_size:64, train times:0.0
model:gru, lr: 0.001, epochs:200, batch size:64, hidden_size:64, train times:0.0
model:gru, lr: 0.001, epochs:100, batch size:64, hidden_size:64, train times:0.0
model:gru, lr: 0.001, epochs:200, batch size:64, hidden_size:64, train times:0.0
model:cnngru, lr: 0.001, epochs:300, batch size:64, hidden_size:64, train times:0.0
model:cnngru, lr: 0.001, epochs:500, batch size:64, hidden_size:64, train times:0.0
model:cnngru, lr: 0.001, epochs:1000, batch size:64, hidden_size:64, train times:0.0
model:cnngru, lr: 0.0001, epochs:1000, batch size:64, hidden_size:64, train times:0.0
model:gru, lr: 0.001, epochs:1000, batch size:64, hidden_size:64, train times:0.0
model:gru, lr: 0.001, epochs:1000, batch size:64, hidden_size:128, train times:0.0
model:lstm, lr: 0.001, epochs:100, batch size:64, hidden_size:64, train times:0.0
model:lstm, lr: 0.001, epochs:100, batch size:64, hidden_size:128, train times:0.0
model:gru, lr: 0.001, epochs:1000, batch size:64, hidden_size:128, train times:0.0
model:gru, lr: 0.001, epochs:1000, batch size:64, hidden_size:128, train times:0.0
model:lstm, lr: 0.001, epochs:1000, batch size:64, hidden_size:128, train times:0.0
model:gru, lr: 0.001, epochs:1000, batch size:64, hidden_size:128, train times:0.0
model:lstm, lr: 0.001, epochs:1000, batch size:32, hidden_size:64, train times:0.0
model:lstm, lr: 0.001, epochs:1000, batch size:128, hidden_size:64, train times:0.0
model:lstm, lr: 0.001, epochs:1000, batch size:64, hidden_size:64, train times:0.0
model:lstm, lr: 0.001, epochs:10, batch size:64, hidden_size:64, train times:0.0
model:lstm, lr: 0.001, epochs:10, batch size:64, hidden_size:64, train times:0.0
model:lstm, lr: 0.001, epochs:1000, batch size:64, hidden_size:64, train times:0.0
model:lstm, lr: 0.001, epochs:32, batch size:32, hidden_size:64, train times:0.0
model:lstm, lr: 0.001, epochs:1000, batch size:64, hidden_size:64, train times:0.0
model:lstm, lr: 0.001, epochs:1000, batch size:32, hidden_size:64, train times:0.0
model:lstm, lr: 0.0001, epochs:1000, batch size:32, hidden_size:64, train times:0.0
model:lstm, lr: 0.001, epochs:1000, batch size:64, hidden_size:128, train times:0.0
model:lstm, lr: 0.001, epochs:1000, batch size:64, hidden_size:64, train times:0.0
model:lstm, lr: 0.001, epochs:1000, batch size:64, hidden_size:64, train times:0.0
model:cnngru, lr: 0.001, epochs:100, batch size:64, hidden_size:64, train times:0.0
model:cnngru, lr: 0.001, epochs:100, batch size:64, hidden_size:64, train times:0.0
model:cnngru, lr: 0.001, epochs:1000, batch size:64, hidden_size:64, train times:0.0
model:lstm, lr: 0.001, epochs:1000, batch size:64, hidden_size:64, train times:0.0
model:gru, lr: 0.001, epochs:1000, batch size:64, hidden_size:64, train times:0.0
model:cnngru, lr: 0.001, epochs:1000, batch size:64, hidden_size:64, train times:0.0
model:cnngru, lr: 0.0001, epochs:1000, batch size:64, hidden_size:64, train times:0.0
model:cnngru, lr: 0.0001, epochs:1000, batch size:64, hidden_size:64, train times:0.0
model:cnngru, lr: 0.0001, epochs:1000, batch size:64, hidden_size:128, train times:0.0
model:cnngru, lr: 0.0001, epochs:1000, batch size:64, hidden_size:64, train times:0.0
model:cnngru, lr: 0.0001, epochs:1000, batch size:64, hidden_size:64, train times:0.0
model:cnngru, lr: 0.001, epochs:1000, batch size:64, hidden_size:64, train times:0.0
model:cnngru, lr: 0.001, epochs:1000, batch size:64, hidden_size:64, train times:0.0
model:cnngru, lr: 0.001, epochs:1000, batch size:64, hidden_size:64, train times:0.0
model:cnngru, lr: 0.001, epochs:1000, batch size:64, hidden_size:64, train times:0.0
model:lstm, lr: 0.001, epochs:1000, batch size:64, hidden_size:64, train times:0.0
model:cnnlstm, lr: 0.001, epochs:1000, batch size:64, hidden_size:64, train times:0.0
model:cnnlstm, lr: 0.001, epochs:1000, batch size:64, hidden_size:64, train times:0.0
model:cnnlstm, lr: 0.001, epochs:1000, batch size:64, hidden_size:64, train times:0.0
model:lstm, lr: 0.001, epochs:100, batch size:64, hidden_size:64, train times:0.0
